Date,Open,High,Low,Close,Adj Close,Volume
2023-02-13,375.649994,379.440002,375.200012,379.350006,374.885223,2980600
2023-02-14,377.959991,381.420013,375.450012,379.209991,374.746887,4718000
2023-02-15,377.149994,380.529999,376.329987,380.480011,376.001923,2820200
2023-02-16,375.660004,379.429993,375.089996,375.190002,370.774170,3077500
2023-02-17,373.179993,374.450012,371.320007,374.220001,369.815613,3285300
2023-02-21,370.399994,371.339996,366.480011,366.790009,362.473053,3109200
2023-02-22,367.179993,368.600006,364.839996,366.329987,362.018433,3872000
2023-02-23,369.070007,369.570007,364.130005,368.170013,363.836823,2867200
2023-02-24,363.309998,365.029999,361.730011,364.230011,359.943176,4055000
2023-02-27,367.489990,368.769989,364.589996,365.489990,361.188354,3300100
2023-02-28,365.010010,366.859985,364.049988,364.109985,359.824585,3022200
2023-03-01,363.339996,364.510010,361.450012,362.779999,358.510223,3764700
2023-03-02,360.809998,366.359985,360.529999,365.489990,361.188354,2727200
2023-03-03,367.290009,371.670013,366.700012,371.279999,366.910187,4913600
2023-03-06,372.260010,374.440002,371.299988,371.730011,367.354919,2638300
2023-03-07,371.630005,371.890015,365.390015,365.980011,361.672607,3546100
2023-03-08,366.109985,367.299988,364.440002,366.549988,362.235870,2906300
2023-03-09,367.350006,368.880005,358.850006,359.839996,355.604797,4409600
2023-03-10,359.329987,361.239990,353.140015,354.679993,350.505524,8360400
2023-03-13,350.760010,358.670013,349.760010,354.079987,349.912598,6478700
2023-03-14,358.880005,361.510010,355.630005,359.959991,355.723419,4798800
2023-03-15,354.459991,357.880005,352.570007,357.739990,353.529541,6610400
2023-03-16,355.540009,364.260010,354.989990,363.859985,359.577515,5016700
2023-03-17,362.760010,363.790009,358.420013,359.880005,355.644348,5189900
2023-03-20,360.470001,363.579987,359.820007,363.130005,358.856110,3099800
2023-03-21,366.420013,368.410004,364.880005,367.880005,363.550201,4117600
2023-03-22,367.779999,371.220001,361.660004,361.779999,357.522034,4094800
2023-03-23,364.480011,368.290009,360.119995,362.640015,358.371887,4787200
2023-03-24,359.980011,363.630005,357.720001,363.559998,360.760345,3740400
2023-03-27,365.730011,366.429993,363.399994,364.160004,361.355743,4144800
2023-03-28,363.540009,364.200012,361.679993,363.519989,360.720642,2413700
2023-03-29,367.399994,368.940002,366.290009,368.690002,365.850861,3636100
2023-03-30,371.230011,371.480011,369.100006,370.890015,368.033936,3316700
2023-03-31,371.779999,376.339996,371.649994,376.070007,373.174011,4159800
2023-04-03,375.600006,377.910004,375.220001,377.559998,374.652527,3525300
2023-04-04,378.190002,378.399994,374.130005,375.429993,372.538940,2713300
2023-04-05,374.709991,375.420013,372.890015,374.519989,371.635925,3227700
2023-04-06,373.670013,376.190002,372.720001,375.950012,373.054962,3076200
2023-04-10,373.549988,376.390015,372.959991,376.359985,373.461761,2671100
2023-04-11,376.899994,377.760010,375.690002,376.410004,373.511414,3069000
2023-04-12,378.399994,378.619995,374.320007,374.910004,372.022949,3624200
2023-04-13,375.910004,380.170013,375.440002,379.769989,376.845520,2680900
2023-04-14,379.269989,381.329987,376.720001,378.989990,376.071533,2981700
2023-04-17,378.839996,380.320007,377.679993,380.279999,377.351593,2721000
2023-04-18,381.839996,381.920013,379.239990,380.540009,377.609619,3019300
2023-04-19,378.730011,381.329987,378.670013,380.519989,377.589722,2671300
2023-04-20,377.779999,380.070007,376.940002,378.369995,375.456299,2953200
2023-04-21,378.679993,379.100006,376.820007,378.589996,375.674622,2762300
2023-04-24,378.480011,379.470001,377.230011,379.089996,376.170776,2310400
2023-04-25,377.179993,377.700012,373.019989,373.100006,370.226898,3795400
2023-04-26,373.660004,374.679993,370.980011,371.440002,368.579651,3766900
2023-04-27,373.890015,379.130005,373.670013,378.809998,375.892914,4302400
2023-04-28,378.040009,382.119995,378.000000,382.049988,379.107941,3386900
2023-05-01,381.730011,383.640015,381.519989,381.790009,378.850006,3069300
2023-05-02,381.059998,381.109985,374.670013,377.510010,374.602966,4311600
2023-05-03,377.910004,380.200012,374.600006,374.880005,371.993195,5513000
2023-05-04,373.839996,374.109985,370.920013,372.140015,369.274323,4421500
2023-05-05,375.739990,380.089996,375.429993,378.970001,376.051666,3134100
2023-05-08,379.410004,379.619995,377.880005,379.179993,376.260040,2957600
2023-05-09,377.709991,378.579987,377.329987,377.540009,374.632721,2271000
2023-05-10,380.279999,380.829987,375.640015,379.190002,376.269989,3512900
2023-05-11,378.470001,378.880005,376.670013,378.660004,375.744080,2676600
2023-05-12,379.850006,380.010010,375.839996,378.149994,375.237976,2530300
2023-05-15,378.739990,379.839996,376.910004,379.459991,376.537903,3882600
2023-05-16,378.390015,379.279999,376.910004,376.950012,374.047241,2275300
2023-05-17,378.850006,382.089996,377.279999,381.450012,378.512604,3222600
2023-05-18,381.260010,385.570007,381.000000,385.179993,382.213867,3340600
2023-05-19,386.019989,386.540009,383.440002,384.570007,381.608582,3646600
2023-05-22,384.660004,386.230011,383.470001,384.779999,381.816956,2784000
2023-05-23,383.190002,384.109985,380.079987,380.480011,377.550079,2887300
2023-05-24,378.910004,379.250000,376.570007,377.630005,374.722015,3611600
2023-05-25,380.989990,382.279999,378.920013,380.920013,377.986694,3315900
2023-05-26,381.640015,386.570007,381.540009,385.869995,382.898560,3042800
2023-05-30,387.760010,388.260010,384.760010,385.989990,383.017639,3968500
2023-05-31,384.309998,385.160004,382.420013,383.890015,380.933807,4205300
2023-06-01,384.200012,388.570007,382.970001,387.570007,384.585480,3563600
2023-06-02,390.079987,393.959991,389.540009,393.260010,390.231659,7365800
2023-06-05,393.540009,394.769989,391.790009,392.500000,389.477509,3481200
2023-06-06,392.049988,393.790009,391.410004,393.309998,390.281281,2894700
2023-06-07,393.670013,394.760010,391.540009,392.019989,389.001190,3942900
2023-06-08,391.959991,394.730011,391.290009,394.369995,391.333099,3455400
2023-06-09,395.049988,396.929993,394.079987,395.029999,391.988007,3060100
2023-06-12,395.980011,398.690002,395.299988,398.660004,395.590057,3792700
2023-06-13,400.019989,401.850006,399.399994,401.290009,398.199829,3913100
2023-06-14,401.609985,403.440002,398.459991,401.600006,398.507416,5161300
2023-06-15,401.000000,407.929993,400.890015,406.750000,403.617737,5285000
2023-06-16,408.690002,408.760010,404.890015,405.250000,402.129333,5132700
2023-06-20,403.489990,404.320007,401.260010,403.380005,400.273712,4242900
2023-06-21,402.309998,403.059998,400.670013,401.170013,398.080750,3423500
2023-06-22,400.279999,402.720001,399.950012,402.630005,399.529510,3141000
2023-06-23,399.329987,401.279999,398.929993,399.609985,396.532715,4205300
2023-06-26,399.040009,400.859985,397.730011,397.959991,394.895447,3250700
2023-06-27,398.799988,402.929993,398.390015,402.369995,399.271484,4302400
2023-06-28,401.350006,403.489990,400.709991,402.549988,399.450073,4320700
2023-06-29,400.600006,402.670013,400.190002,402.510010,400.980286,3914800
2023-06-30,405.399994,408.220001,405.290009,407.279999,405.732147,5160100
2023-07-03,406.920013,408.059998,406.679993,408.059998,406.509186,2372000
2023-07-05,406.010010,407.839996,406.010010,407.149994,405.602631,4230100
2023-07-06,403.779999,404.350006,401.559998,403.829987,402.295258,6040300
2023-07-07,403.029999,406.679993,402.709991,402.890015,401.358856,3672200
2023-07-10,402.630005,404.109985,402.059998,403.970001,402.434723,3362300
2023-07-11,404.769989,407.000000,403.769989,406.559998,405.014893,3181900
2023-07-12,410.190002,411.130005,408.790009,409.760010,408.202728,4246400
2023-07-13,411.540009,413.809998,411.130005,413.100006,411.530029,3273400
2023-07-14,413.940002,414.709991,412.079987,412.769989,411.201263,3678400
